Size,Time,seconds,,,,,,
10,1400,0.0000014,,,,,,
100,75200,0.0000752,,,,,,
200,221900,0.0002219,,,,,,
500,1639400,0.0016394,,,,,,
1000,10047700,0.0100477,,,,,,
5000,191444900,0.1914449,,,,,,
10000,722368500,0.7223685,,,,,,
20000,2642201100,2.6422011,,,,,,
100000,69889882500,69.8898825,,,,,,
Size,Time,seconds,,,,,,
10,1300,0.0000013,,,,,,
100,62300,0.0000623,,,,Average values,,
200,230200,0.0002302,,,,Size,Time,seconds
500,1410500,0.0014105,,,,10,1366.666667,1.36667E-06
1000,6020300,0.0060203,,,,100,66033.33333,6.60333E-05
5000,156619800,0.1566198,,,,200,239766.6667,0.000239767
10000,709533100,0.7095331,,,,500,1509233.333,0.001509233
20000,2666145900,2.6661459,,,,1000,7341833.333,0.007341833
100000,69099733100,69.0997331,,,,5000,169858200,0.1698582
Size,Time,,,,,10000,719810066.7,0.719810067
10,1400,0.0000014,,,,20000,2651745633,2.651745633
100,60600,0.0000606,,,,100000,69562186167,69.56218617
200,267200,0.0002672,,,,,,
500,1477800,0.0014778,,,,,,
1000,5957500,0.0059575,,,,,,
5000,161509900,0.1615099,,,,,,
10000,727528600,0.7275286,,,,,,
20000,2646889900,2.6468899,,,,,,
100000,69696942900,69.6969429,,,,,,
