
Size,Vector Time,List time
50,12300,71300
100,89400,218100
500,989400,943900
1000,2963200,1729100
3000,29462200,6004600
10000,384509000,31404300
50000,10295202400,138894500
100000,37902317800,326024200
Size,Vector Time,List time
50,10900,110300
100,55700,229900
500,880400,1350800
1000,4150100,2158700
3000,25432700,5501500
10000,389372600,29385300
50000,9820066400,132063800
100000,39806374700,169486600
Size,Vector Time,List time
50,11200,70500
100,26400,270700
500,593900,1222400
1000,3898000,1630000
3000,27764200,5071900
10000,448426200,29859800
50000,10206843100,70774000
100000,37916661400,335676200
Size,Vector Time,List time
50,5500,56000
100,23200,174400
500,1068100,1357200
1000,3858900,1931900
3000,31847000,4708300
10000,371593700,19007000
50000,10019786700,140294600
100000,39336819900,326277900
Size,Vector Time,List time
50,26600,55400
100,28600,210300
500,738400,823400
1000,3496300,2968100
3000,27440900,5174900
10000,312524400,14869500
50000,9525590400,77549700
100000,37998668700,172376100
